User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
USR_00001,56,Male,Creative,iOS,7.7,3.2,26.6,6.9,9.0,14,2.5,3.9
USR_00002,46,Male,Creative,Android,6.5,2.2,31.9,6.7,7.5,15,3.8,7.1
USR_00003,32,Female,Creative,iOS,8.5,4.3,10.0,7.0,8.7,23,3.0,9.0
USR_00004,60,Female,Sales,Android,5.4,2.3,39.7,6.3,6.1,12,3.1,5.3
USR_00005,25,Male,Creative,Android,5.6,2.9,25.5,7.0,7.4,13,5.5,5.3
USR_00006,38,Female,Student,Android,3.8,2.0,32.9,6.3,8.8,10,2.3,5.3
USR_00007,56,Male,Student,iOS,7.3,1.9,31.0,5.7,3.7,20,3.3,6.3
USR_00008,36,Female,Healthcare,iOS,7.7,3.4,25.6,6.7,7.1,24,3.5,6.6
USR_00009,40,Female,Engineer,iOS,8.8,2.7,11.6,6.7,7.9,19,4.3,11.3
USR_00010,28,Female,Engineer,Android,9.4,4.6,26.8,9.1,5.6,24,1.8,7.4
USR_00011,28,Female,Manager,Android,6.8,3.1,20.8,5.8,5.8,15,4.7,5.5
USR_00012,41,Non-binary,Creative,iOS,7.9,2.1,11.8,6.6,8.3,19,3.5,9.0
USR_00013,53,Male,Engineer,iOS,7.6,4.0,43.5,6.5,4.8,21,2.1,6.8
USR_00014,57,Female,Creative,Android,6.5,2.9,35.6,6.3,6.8,16,3.0,5.7
USR_00015,41,Male,Creative,iOS,3.8,2.0,70.7,7.4,3.2,7,3.6,3.6
USR_00016,20,Male,Manager,Android,4.3,1.2,48.7,9.5,3.0,11,4.5,6.1
USR_00017,39,Male,Engineer,iOS,7.7,3.9,19.9,6.4,7.6,20,2.9,9.9
USR_00018,19,Non-binary,Engineer,iOS,8.7,3.8,26.8,7.4,4.8,23,4.8,6.1
USR_00019,41,Non-binary,Creative,iOS,9.7,3.8,10.0,4.5,4.6,27,4.7,14.1
USR_00020,61,Male,Creative,iOS,7.0,3.4,30.5,6.3,6.7,22,2.7,8.6
USR_00021,47,Male,Sales,Android,8.0,3.4,35.2,8.7,7.4,20,3.4,7.9
USR_00022,55,Female,Healthcare,iOS,11.7,5.1,10.0,6.7,9.5,25,4.2,13.7
USR_00023,19,Male,Engineer,iOS,8.5,2.5,33.2,7.4,6.8,22,2.7,10.7
USR_00024,38,Male,Engineer,Android,6.5,3.2,51.3,6.1,2.6,12,2.2,9.9
USR_00025,50,Female,Creative,iOS,7.5,3.2,38.8,7.1,5.5,24,2.7,10.9
USR_00026,29,Female,Engineer,Both,7.7,3.8,38.5,8.8,3.8,17,2.1,12.0
USR_00027,39,Non-binary,Student,iOS,5.7,1.8,15.6,5.4,8.1,17,3.8,6.7
USR_00028,61,Male,Manager,Android,8.5,2.7,27.7,9.4,5.5,22,4.8,6.3
USR_00029,42,Male,Engineer,iOS,9.0,1.9,10.0,4.9,9.0,23,4.2,6.9
USR_00030,44,Female,Student,iOS,9.6,4.5,10.0,6.2,7.3,19,5.1,8.8
USR_00031,59,Female,Manager,Android,8.0,2.5,30.6,5.8,5.4,17,3.8,8.5
USR_00032,45,Female,Student,iOS,9.8,3.1,10.0,6.5,8.2,23,6.2,14.7
USR_00033,33,Female,Engineer,iOS,5.9,2.6,29.8,5.8,6.9,13,2.5,6.8
USR_00034,32,Male,Creative,Android,5.7,1.6,50.9,5.7,4.2,14,1.0,6.3
USR_00035,64,Female,Creative,Android,6.7,3.5,39.5,5.4,3.1,14,3.3,7.3
USR_00036,61,Male,Student,iOS,5.7,2.2,52.5,7.6,5.3,15,3.1,9.6
USR_00037,20,Male,Creative,Both,8.6,4.6,10.0,6.5,5.3,21,4.6,12.3
USR_00038,54,Female,Manager,iOS,4.7,1.1,41.1,6.2,5.8,13,5.0,5.2
USR_00039,24,Male,Manager,iOS,6.8,2.2,54.9,7.1,5.2,12,1.3,6.6
USR_00040,38,Male,Sales,Android,6.6,2.2,10.0,5.0,7.1,18,3.4,4.7
USR_00041,26,Female,Creative,Android,6.0,2.7,41.4,7.2,6.0,19,3.0,8.1
USR_00042,56,Male,Creative,iOS,3.8,1.0,75.7,6.7,2.5,9,1.5,6.1
USR_00043,35,Female,Engineer,Android,7.4,2.5,37.4,6.7,6.1,22,2.9,6.6
USR_00044,21,Male,Engineer,iOS,7.1,3.7,27.9,7.4,5.8,17,3.9,8.9
USR_00045,42,Female,Sales,Android,10.7,2.6,10.0,8.8,5.9,25,3.9,14.7
USR_00046,31,Male,Manager,Android,11.3,5.2,28.9,7.2,4.3,28,3.1,8.2
USR_00047,26,Male,Student,Android,5.1,2.3,32.6,6.6,5.2,17,4.7,5.5
USR_00048,43,Non-binary,Creative,Both,4.7,1.2,10.0,5.4,8.9,16,4.0,5.5
USR_00049,19,Female,Creative,Android,6.0,2.6,10.0,3.9,8.9,10,5.3,2.8
USR_00050,37,Female,Sales,Android,7.3,2.9,39.1,7.0,6.4,15,2.2,6.4
USR_00051,45,Male,Student,Android,8.9,2.7,10.0,5.3,4.5,21,2.5,12.5
USR_00052,64,Female,Sales,iOS,6.4,2.0,10.0,3.8,6.0,13,5.8,11.1
USR_00053,24,Female,Engineer,Android,8.0,3.9,31.4,6.4,4.9,21,2.5,11.5
USR_00054,61,Female,Engineer,Android,6.1,1.7,45.5,7.1,6.8,14,4.0,4.4
USR_00055,25,Female,Healthcare,Android,6.5,2.5,39.2,7.7,6.4,14,2.3,8.1
USR_00056,64,Male,Engineer,iOS,7.7,3.4,42.8,8.1,6.4,25,3.1,8.9
USR_00057,52,Male,Student,Android,6.6,1.6,65.0,7.9,3.8,18,2.4,5.4
USR_00058,31,Female,Healthcare,Android,8.1,4.3,28.9,7.9,9.0,22,3.7,9.1
USR_00059,34,Male,Student,Android,5.2,1.5,16.4,5.0,5.6,10,4.1,6.3
USR_00060,53,Male,Engineer,iOS,9.6,3.0,27.3,6.6,6.3,23,2.4,10.4
USR_00061,57,Non-binary,Student,iOS,9.5,4.1,21.6,7.5,5.9,23,3.6,8.5
USR_00062,21,Female,Manager,iOS,8.3,1.9,45.6,6.9,1.9,21,1.4,10.0
USR_00063,19,Female,Manager,Both,6.7,2.8,21.4,6.6,7.9,15,5.0,5.1
USR_00064,23,Female,Creative,Both,7.9,4.1,11.6,6.8,7.3,22,3.5,10.1
USR_00065,59,Female,Creative,Android,6.9,2.0,30.3,7.1,7.9,21,0.1,6.3
USR_00066,21,Male,Manager,iOS,6.0,2.0,39.6,6.7,7.4,17,1.9,9.5
USR_00067,46,Male,Creative,iOS,7.4,2.1,28.3,5.8,4.7,18,3.8,6.6
USR_00068,35,Male,Engineer,iOS,3.3,1.6,20.1,4.8,5.4,7,4.4,5.3
USR_00069,43,Male,Student,Android,8.1,2.1,49.7,6.6,3.7,23,2.4,8.8
USR_00070,61,Female,Creative,iOS,5.2,1.7,53.4,6.9,6.1,13,3.1,5.1
USR_00071,51,Male,Student,Android,6.6,2.7,28.3,6.9,5.4,18,3.6,10.1
USR_00072,27,Male,Sales,iOS,2.8,1.0,72.2,7.9,4.6,7,3.9,1.3
USR_00073,53,Male,Manager,Android,9.7,2.2,42.8,8.2,3.3,22,3.3,8.5
USR_00074,31,Male,Creative,Android,8.3,4.4,34.3,6.7,5.3,25,2.4,6.6
USR_00075,48,Male,Manager,Android,8.2,2.6,16.9,6.7,8.6,27,4.6,6.6
USR_00076,65,Male,Manager,Android,6.6,2.3,40.3,7.5,7.9,15,0.8,8.0
USR_00077,32,Male,Manager,iOS,6.2,1.6,36.7,7.3,8.6,15,2.9,10.5
USR_00078,25,Male,Creative,Android,7.6,3.8,12.6,6.3,8.1,17,4.0,7.3
USR_00079,31,Male,Manager,Android,7.0,2.1,58.6,7.6,3.3,15,1.3,7.1
USR_00080,40,Female,Sales,Both,6.7,1.4,44.1,6.6,5.5,18,3.1,5.5
USR_00081,57,Male,Student,Android,8.2,2.5,16.0,6.6,5.8,18,3.6,13.0
USR_00082,38,Male,Engineer,iOS,10.1,5.5,30.6,7.3,4.1,22,1.9,9.4
USR_00083,33,Female,Manager,Android,5.0,1.3,54.6,6.4,4.7,13,3.2,2.5
USR_00084,62,Male,Healthcare,Android,6.9,1.5,54.1,6.9,3.3,14,1.5,9.5
USR_00085,35,Female,Sales,iOS,10.9,4.4,10.0,7.2,7.7,25,4.1,14.4
USR_00086,64,Female,Student,iOS,7.6,2.5,34.2,7.8,8.7,16,3.6,9.8
USR_00087,41,Male,Healthcare,Android,7.4,3.5,34.5,7.7,7.3,19,3.6,10.3
USR_00088,43,Female,Student,Both,8.4,3.8,27.3,7.1,6.9,21,2.9,10.4
USR_00089,42,Male,Healthcare,Both,9.2,2.4,10.0,3.7,8.3,17,2.3,11.2
USR_00090,62,Female,Sales,Both,9.6,3.8,20.1,7.1,7.4,24,2.9,9.1
USR_00091,58,Male,Student,Android,8.6,1.8,10.0,7.3,9.8,19,5.0,11.0
USR_00092,46,Female,Manager,Android,5.8,2.1,56.0,7.5,5.8,19,3.8,4.6
USR_00093,32,Male,Sales,iOS,8.5,3.8,10.0,5.7,6.7,15,5.1,8.3
USR_00094,62,Female,Sales,iOS,6.1,2.1,10.0,4.3,7.7,16,3.9,8.1
USR_00095,18,Female,Healthcare,Android,7.3,1.8,47.2,7.8,4.0,20,1.9,11.0
USR_00096,42,Male,Manager,iOS,6.4,1.4,50.2,5.3,2.7,12,3.6,7.9
